0,1,2
-0.579333,-14.4754,1.0
-0.379333,-14.4754,1.0
-0.179333,-14.4754,1.0
0.020667,-14.4754,1.0
0.220667,-14.4754,1.0
0.420667,-14.4754,1.0
0.620667,-14.4754,1.0
0.820667,-14.4754,1.0
1.02067,-14.4754,1.0
1.22067,-14.4754,1.0
1.42067,-14.4754,1.0
1.62067,-14.4754,1.0
1.82067,-14.4754,1.0
2.02067,-14.4754,1.0
2.22067,-14.4754,1.0
2.42067,-14.4754,1.0
2.62067,-14.4754,1.0
2.82067,-14.4754,1.0
3.02067,-14.4754,1.0
3.22067,-14.4754,1.0
3.42067,-14.4754,1.0
3.62067,-14.4754,1.0
3.82067,-14.4754,1.0
4.02067,-14.4754,1.0
4.22067,-14.4754,1.0
4.42067,-14.4754,1.0
4.62067,-14.4754,1.0
4.82067,-14.4754,1.0
5.02067,-14.4754,1.0
5.22067,-14.4754,1.0
5.42067,-14.4754,1.0
5.62067,-14.4754,1.0
5.82067,-14.4754,1.0
6.02067,-14.4754,1.0
6.22067,-14.4754,1.0
6.42067,-14.4754,1.0
6.62067,-14.4754,1.0
6.82067,-14.4754,1.0
7.02067,-14.4754,1.0
7.22067,-14.4754,1.0
7.42067,-14.4754,1.0
7.62067,-14.4754,1.0
7.82067,-14.4754,1.0
8.02067,-14.4754,1.0
8.22067,-14.4754,1.0
8.42067,-14.4754,1.0
8.62067,-14.4754,1.0
8.82067,-14.4754,1.0
9.02067,-14.4754,1.0
9.22067,-14.4754,1.0
9.42067,-14.4754,1.0
9.62067,-14.4754,1.0
9.82067,-14.4754,1.0
10.0207,-14.4754,1.0
10.2207,-14.4754,1.0
10.4207,-14.4754,1.0
10.6207,-14.4754,1.0
10.8207,-14.4754,1.0
11.0207,-14.4754,1.0
11.2207,-14.4754,1.0
11.4207,-14.4754,1.0
11.6207,-14.4754,1.0
11.8207,-14.4754,1.0
12.0207,-14.4754,1.0
12.2207,-14.4754,1.0
12.4207,-14.4754,1.0
12.6207,-14.4754,1.0
12.8207,-14.4754,1.0
13.0207,-14.4754,1.0
13.2207,-14.4754,1.0
13.4207,-14.4754,1.0
13.6207,-14.4754,1.0
13.8207,-14.4754,1.0
14.0207,-14.4754,1.0
14.2207,-14.4754,1.0
14.4207,-14.4754,1.0
14.6207,-14.4754,1.0
14.8207,-14.4754,1.0
15.0207,-14.4754,1.0
15.2207,-14.4754,1.0
15.4207,-14.4754,1.0
15.6207,-14.4754,1.0
15.8207,-14.4754,1.0
16.0207,-14.4754,1.0
16.2207,-14.4754,1.0
16.4207,-14.4754,1.0
16.6207,-14.4754,1.0
16.8207,-14.4754,1.0
17.0207,-14.4754,1.0
17.2207,-14.4754,1.0
17.4207,-14.4754,1.0
17.6207,-14.4754,1.0
17.8207,-14.4754,1.0
18.0207,-14.4754,1.0
18.2207,-14.4754,1.0
